"aphiaID","Kingdom","Subkingdom","Infrakingdom","Phylum","Subphylum","Infraphylum","Class","Subclass","Order","Family","Genus","Species","Superorder","Phylum (Division)","Subphylum (Subdivision)","Suborder","Subfamily","Variety","Forma","Subgenus","Superclass","rank"
109508,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Gymnodiniales","Warnowiaceae","Ceratoperidinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109509,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Cladopyxidaceae","Cladopyxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109510,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Cladopyxidaceae","Micracanthodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109512,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Cladopyxidaceae","Palaeophalacroma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109515,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Protoperidiniaceae","Diplopsalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109517,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Dinophyceae incertae sedis","Amphidomataceae","Amphidoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109518,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Gonyaulacaceae","Amylax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109519,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Gonyaulacaceae","Gonyaulax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109522,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Heterodiniaceae","Heterodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109524,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Pyrocystaceae","Ostreopsis",NA,NA,NA,NA,NA,"Ostreopsidoideae",NA,NA,NA,NA,"Genus"
109525,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Peridiniida incertae sedis","Adenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
