aphiaID;rank
163859;Species
163862;Species
163885;Species
163932;Species
164053;Species
164085;Species
164108;Species
164110;Species
164116;Species
172375;Genus
172418;Species
172431;Genus
172434;Genus
172436;Species
172460;Species
172473;Genus
172588;Species
172607;Species
172609;Species
172799;Species
172836;Species
175425;Species
175582;Genus
175584;Species
175790;Species
175794;Species
175928;Genus
176249;Species
176362;Species
176371;Species
176385;Genus
176410;Species
176540;Species
177158;Species
177588;Genus
177604;Genus
178050;Species
178059;Genus
178185;Species
178201;Species
178207;Species
178215;Species
178229;Species
178241;Species
178582;Genus
178583;Genus
178589;Genus
178594;Genus
178597;Family
178598;Genus
178600;Species
178617;Genus
178619;Species
178956;Species
179320;Genus
179573;Species
179581;Species
179596;Species
179786;Species
179790;Species
179856;Species
179887;Species
180314;Species
180319;Species
180367;Species
180390;Genus
180542;Species
180789;Species
183533;Family
183543;Genus
183566;Genus
196811;Species
196815;Species
196828;Species
196830;Genus
231770;Genus
231778;Genus
231787;Genus
231788;Genus
231789;Genus
231790;Genus
231796;Family
231799;Genus
231800;Family
231803;Genus
231809;Genus
231843;Family
231844;Genus
231856;Genus
231873;Species
231881;Species
231884;Species
231885;Species
231887;Species
231888;Species
232069;Species
232086;Species
232093;Species
232110;Species
232185;Species
232261;Species
232270;Species
232365;Species
232376;Species
232442;Species
232460;Species
232461;Species
232466;Species
232491;Species
232492;Species
232545;Species
232546;Species
232560;Species
232598;Species
232625;Species
232650;Species
232703;Species
232765;Species
232777;Species
232785;Species
232820;Species
232848;Species
232880;Species
232940;Species
232943;Species
233015;Species
233018;Species
233024;Species
233037;Species
233045;Species
233084;Species
233113;Species
233144;Species
233257;Species
233263;Species
233357;Species
233386;Species
233433;Species
233440;Species
233443;Species
233447;Species
233466;Species
233592;Species
233610;Species
233614;Species
233615;Species
233619;Species
233620;Species
233625;Species
233712;Species
233744;Species
233759;Genus
233761;Species
233763;Genus
233776;Genus
233868;Species
233870;Species
233871;Species
233874;Species
235761;Species
235828;Genus
235934;Genus
235979;Species
235993;Genus
246593;Species
246604;Species
246605;Species
246606;Species
246607;Species
246608;Species
246835;Species
247913;Genus
248058;Species
248059;Species
248060;Species
248062;Species
248063;Species
248064;Species
248065;Species
248066;Species
248069;Genus
248070;Species
248071;Species
248074;Genus
248075;Species
248076;Species
248077;Genus
248078;Species
248081;Genus
248088;Species
248090;Species
248096;Genus
248097;Species
248121;Species
248140;Species
248148;Genus
248181;Species
249689;Genus
249711;Genus
249725;Genus
251726;Variety
251728;Forma
251744;Genus
251745;Species
254445;Genus
292726;Genus
341285;Order
341479;Species
341484;Species
341496;Species
341536;Species
341543;Species
341558;Species
341566;Species
341610;Species
345436;Genus
345437;Species
345481;Species
345484;Genus
345485;Species
345490;Genus
345491;Species
345499;Species
345513;Species
345514;Order
345515;Genus
345526;Species
345529;Species
345532;Species
345533;Species
345546;Species
345547;Species
345550;Species
345882;Species
368707;Order
368883;Family
369190;Phylum
369698;Genus
369960;Genus
370366;Subgenus
370367;Subgenus
375677;Species
375788;Species
375958;Species
375970;Species
376081;Species
376151;Species
376667;Species
376690;Species
376694;Species
388924;Species
390662;Species
390664;Genus
391508;Genus
393573;Genus
394840;Species
395037;Variety
411764;Species
411767;Species
418132;Species
418136;Species
418161;Species
418222;Species
418285;Species
418509;Species
418510;Species
418540;Species
418546;Species
418547;Species
418624;Species
418643;Species
418646;Species
418647;Species
447730;Species
450616;Genus
450619;Genus
464448;Species
465389;Species
465390;Species
465524;Species
478556;Species
478557;Genus
478559;Genus
493821;Order
493993;Subfamily
494056;Genus
494057;Genus
494102;Genus
495287;Species
495363;Species
495630;Species
495633;Species
495640;Species
495645;Species
495648;Species
495678;Species
495685;Species
495691;Species
547444;Variety
547544;Forma
549205;Species
549213;Species
549214;Species
549221;Species
553414;Forma
555052;Species
555264;Species
555293;Species
558243;Species
558759;Species
562870;Phylum
562871;Subphylum
567118;Species
572004;Genus
572043;Species
572081;Genus
573498;Species
573577;Species
573585;Species
573599;Species
573782;Species
573871;Species
574064;Genus
574079;Species
574083;Species
576225;Genus
576237;Species
577625;Species
577639;Species
577792;Species
577930;Species
578002;Genus
580116;Class
582177;Class
582200;Subclass
582210;Order
582421;Phylum
591186;Superorder
591199;Superorder
592906;Class
593337;Family
595701;Species
599664;Family
600961;Genus
601957;Genus
603275;Genus
603340;Genus
604918;Genus
615516;Species
619304;Species
621926;Species
624247;Species
624358;Species
624488;Species
624607;Species
639206;Species
643543;Species
643805;Species
657464;Species
659627;Species
662007;Species
662038;Species
662632;Species
663583;Species
670030;Species
699394;Species
700266;Species
700481;Species
704677;Species
729889;Species
732976;Suborder
764850;Species
836564;Genus
836581;Genus
837075;Species
837220;Species
837222;Species
837227;Species
837234;Species
837310;Species
837448;Species
837453;Species
837456;Species
837459;Species
837460;Species
838163;Species
838240;Species
839164;Species
839792;Species
839991;Species
839996;Species
840626;Species
840627;Species
840689;Species
841182;Species
841188;Species
841189;Species
841193;Species
841198;Species
841200;Species
841202;Species
841248;Species
841249;Species
841251;Species
841256;Species
841258;Species
841259;Species
841260;Species
841261;Species
841741;Species
841746;Species
841751;Species
841767;Species
842517;Species
843999;Species
846290;Variety
847022;Forma
886274;Class
956074;Genus
958478;Species
961694;Species
961743;Species
961863;Species
961873;Species
971564;Variety
976448;Variety
976613;Variety
977103;Variety
984623;Forma
985165;Forma
985652;Forma
985653;Forma
990875;Genus
990876;Species
1304629;Order
1305343;Species
1307640;Species
1310442;Species
1321853;Species
1322723;Species
1346683;Species
1369826;Species
1380043;Species
1381154;Species
1382182;Species
1442452;Species
1470768;Species
1474876;Species
1590705;Genus
1778370;Species
51;Phylum
105;Class
164;Suborder
882;Phylum
958;Family
1066;Subphylum
1078;Class
1080;Class
1082;Subclass
1086;Subclass
1100;Order
1101;Order
1102;Order
1106;Order
1128;Order
1131;Order
1135;Order
1137;Order
1205;Suborder
1207;Suborder
1248;Phylum
1302;Class
1307;Class
1337;Class
1371;Order
1614;Family
1789;Phylum
1806;Phylum
2081;Phylum
10194;Gigaclass
11707;Class
13552;Order
13704;Family
101361;Family
103354;Family
103356;Family
104074;Family
104079;Family
104080;Family
104081;Family
104086;Family
104092;Family
104097;Family
104106;Family
104190;Genus
104902;Genus
106264;Family
106266;Genus
106422;Family
106673;Infraorder
106733;Family
106734;Family
116998;Genus
117034;Genus
117099;Genus
117213;Genus
123082;Class
123084;Class
123117;Order
123626;Genus
128569;Family
128586;Family
128595;Family
135220;Class
135335;Suborder
135336;Family
135338;Family
136093;Family
137212;Order
137214;Order
137687;Genus
137793;Genus
139029;Species
152391;Phylum
411905;Family
582419;Subkingdom
586732;Class
1379066;Genus
1583577;Genus
