"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2009","Bouee 1320090914NA",44.6334,-1.2377,,"Bouee 13","20090914",,,"Bouee 13_20090914",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,168.728909,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090914NA",44.6334,-1.2377,,"Bouee 13","20090914",,,"Bouee 13_20090914",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,79699.10011,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090928NA",44.6334,-1.2377,,"Bouee 13","20090928",,,"Bouee 13_20090928",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,93.994778,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090928NA",44.6334,-1.2377,,"Bouee 13","20090928",,,"Bouee 13_20090928",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,59796.34465,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090928NA",44.6334,-1.2377,,"Bouee 13","20090928",,,"Bouee 13_20090928",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,16885.11749,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091013NA",44.6334,-1.2377,,"Bouee 13","20091013",,,"Bouee 13_20091013",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,54.830287,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091013NA",44.6334,-1.2377,,"Bouee 13","20091013",,,"Bouee 13_20091013",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,45522.19321,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091013NA",44.6334,-1.2377,,"Bouee 13","20091013",,,"Bouee 13_20091013",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,67308.09399,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091029NA",44.6334,-1.2377,,"Bouee 13","20091029",,,"Bouee 13_20091029",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,478.142077,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091029NA",44.6334,-1.2377,,"Bouee 13","20091029",,,"Bouee 13_20091029",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,42355,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091029NA",44.6334,-1.2377,,"Bouee 13","20091029",,,"Bouee 13_20091029",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,7278.688525,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091112NA",44.6334,-1.2377,,"Bouee 13","20091112",,,"Bouee 13_20091112",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,172.972973,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091112NA",44.6334,-1.2377,,"Bouee 13","20091112",,,"Bouee 13_20091112",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,11859,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091112NA",44.6334,-1.2377,,"Bouee 13","20091112",,,"Bouee 13_20091112",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,3962.162162,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091127NA",44.6334,-1.2377,,"Bouee 13","20091127",,,"Bouee 13_20091127",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,494.594595,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091127NA",44.6334,-1.2377,,"Bouee 13","20091127",,,"Bouee 13_20091127",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,42754.05405,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091127NA",44.6334,-1.2377,,"Bouee 13","20091127",,,"Bouee 13_20091127",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,9959.459459,"CEMP~NATL"
