"STATN","DATA","LONGI","LATIT"
"Hossegor amont","REPHY",-1.43,43.677
"Houat","REPHY",-2.947,47.409
"Ile Chevalier","REPHY",-4.176,47.855
"Ile Dumet (a)","REPHY",-2.59,47.421
"Ile d'Aix","REPHY",-1.153,46.016
"Ile d'Yeu est","REPHY",-2.294,46.711
"Ile du soleil","REPHY",6.42,43.015
"Jai","REPHY",5.163,43.413
"Jospinet","REPHY",-2.604,48.551
"Kerist","REPHY",-3.977,47.898
"Kervel","REPHY",-4.285,48.116
"Kervel large","REPHY",-4.298,48.11
"L'Eperon (terre)","REPHY",-1.242,46.268
"La Carrelere","REPHY",-1.2,46.23
"La Palmyre","REPHY",-1.176,45.653
"La Passe des Esnandais (terre)","REPHY",-1.315,46.304
"Lannuguy","REPHY",-3.855,48.607
"Lanveoc","PHYTOBS/REPHY",-4.453,48.294
"Lanveoc large","REPHY",-4.448,48.309
"Large Cap Ferret","REPHY",-1.321,44.632
"Large Capbreton","REPHY",-1.481,43.643
"Large Porge ocean","REPHY",-1.291,44.885
"Lazaret (a)","REPHY",5.906,43.087
"Le Buron","SOMLIT",-2.068,48.659
"Le Chapus (a)","REPHY",-1.179,45.853
"Le Cornard","REPHY",-1.131,46.055
"Le Croisic (a)","REPHY",-2.514,47.3
"Le Halguen","REPHY",-2.494,47.502
"Le Hourdel","REPHY",1.502,50.23
"Le Passage (a)","REPHY",-4.384,48.396
"Le Score","REPHY",-3.954,47.876
"Les Glenan","REPHY",-4.34,47.646
"Listel","REPHY",3.611,43.389
"Littoral Bastiais","REPHY",9.463,42.676
"Locquemeau","REPHY",-3.585,48.726
"Loguivy","REPHY",-3.042,48.829
"Luc sur mer","REPHY",-0.347,49.322
"Luc-sur-Mer","PHYTOBS/SOMLIT",-0.333,49.337
"Manche Est Vergoyer - J","REPHY",0.288,50.267
"Marseillan (a)","REPHY",3.553,43.364
"Men Du","REPHY",-3.84,47.773
"Men er Roue","REPHY",-3.094,47.535
"Merquel","REPHY",-2.466,47.42
"Mont St Michel","REPHY",-1.764,48.653
"Nord Dumet","REPHY",-2.657,47.46
"Nord Saumonards","REPHY",-1.278,46.006
"Ouessant - Youc'h korz","REPHY",-5.115,48.45
"Ouessant - cale de Porz Arlan","REPHY",-5.049,48.456
"Ouest Loscolo","REPHY",-2.538,47.458
"Ouistreham 1 mille","REPHY",-0.243,49.311
"PNMI_B1","PNMI",-4.617,48.317
"PNMI_B2","PNMI",-4.783,48.317
"PNMI_B3","PNMI",-4.95,48.317
"PNMI_B4","PNMI",-5.05,48.333
"PNMI_B5","PNMI",-5.167,48.333
"PNMI_B6","PNMI",-5.25,48.333
"PNMI_B7","PNMI",-5.417,48.333
"PNMI_D1","PNMI",-4.417,48.166
"PNMI_D2","PNMI",-4.617,48.166
"PNMI_D3","PNMI",-4.783,48.166
"PNMI_D4","PNMI",-4.95,48.166
"PNMI_D5","PNMI",-5.167,48.166
"PNMI_D6","PNMI",-5.25,48.166
"PNMI_MOLENE","PNMI",-4.956,48.4
"PNMI_SEIN","PNMI",-4.867,48.05
"Palu","REPHY",9.409,41.946
"Paluden","REPHY",-4.521,48.588
"Parc 10 n","REPHY",1.599,50.764
"Parc Leucate 2","REPHY",3.014,42.873
"Passerelle RO-RO","REPHY",1.567,50.727
"Pen al Lann (a)","REPHY",-3.894,48.666
"Penzornou","REPHY",-3.943,48.66
"Pianottoli - Bruzzi","REPHY",9.023,41.455
"Pirou Bergerie Sud","REPHY",-1.605,49.147
"Point 1 Boulogne","REPHY",1.549,50.753
"Point 1 Dunkerque","REPHY",2.333,51.069
"Point B","SOMLIT",7.317,43.683
"Point C","PHYTOBS/SOMLIT",1.52,50.679
"Point L","SOMLIT",1.417,50.688
"Pointe Pen Be","REPHY",-2.458,47.423
"Pointe Sant'Amanza","REPHY",9.266,41.429
"Pointe du Roc","REPHY",-1.619,48.833
"Pont de Lezardrieux - 152E08","REPHY",-3.106,48.778
"Port Etel","REPHY",-3.207,47.657
"Port Joinville","REPHY",-2.348,46.729
"Port Saint Hubert","REPHY",-1.973,48.535
"Port au Loup","REPHY",-2.535,47.386
"Portzic","PHYTOBS/SOMLIT",-4.552,48.359
"Prat ar Coum","REPHY",-4.59,48.565
"Quiberon-concessions","REPHY",-3.097,47.532
"Rance","REPHY",-2.034,48.602
"Remblai","REPHY",-1.784,46.491
"Roche Colas","REPHY",-2.821,47.583
"Roche Jaune","REPHY",-3.203,48.824
"Roches de Grandcamp","REPHY",-1.048,49.394
"Rousty","REPHY",4.495,43.457
"Salmona cage","REPHY",-1.624,49.673
"Sete","SOMLIT",3.662,43.327
"Sete Mer Large","REPHY",3.644,43.334
"Sete mer","REPHY",3.701,43.389
"Smile","SOMLIT",-0.333,49.337
"Sola","PHYTOBS/SOMLIT",3.328,42.567
"St Aubin","REPHY",-0.388,49.341
"St Cast","REPHY",-2.244,48.643
"St Pol large","REPHY",-3.953,48.701
"St Vaast Sud","REPHY",-1.288,49.559
"Stes Maries 5","REPHY",4.443,43.449
"Strouanne","REPHY",1.677,50.906
"Sud Bastia","REPHY",9.491,42.641
"Teychan bis","REPHY",-1.159,44.674
"Trevignon","REPHY",-3.832,47.796
"Vert Bois 2","REPHY",-1.29,45.841
"Villefranche","REPHY",7.316,43.684
"les Hebihens","REPHY",-2.207,48.643
"pk 30","SOMLIT",-0.638,45.068
"pk 52","SOMLIT",-0.725,45.247
"pk 86","SOMLIT",-0.95,45.517
